BASE_URI|TITLE|DATE|FORMAT|CONTRIBUTOR|SUBJECT|DESCRIPTION|SOURCE|RIGHTS|FILE_PATH
Metadata/Crime-in-the-Archives/Making Money from Murder/MS0412-Leopold-Loeb-trial.xml|Grolier Story of America Subscription Card: The Trial of Nathan Leopold and Richard Loeb (#75-13)|1994|Collecting cards|Grolier Incorporated|Leopold, Nathan Freudenthal, 1904-1971; Loeb, Richard A., 1905-1936|Interest in the trial of Nathan Leopold and Richard Loeb has continued long after their deaths. Grolier Story of America Cards  were released in sets of 20 between 1994 and 2001. Covering all aspects of American history, the cards were sold on a subscription basis, with a total of 2600 cards in 130 decks or packets on topics such as "Life in America" and "Notable People."  The "Important Events" deck included "The Sinking of the Lusitania" and "The Boston Tea Party."|James G. Stahlman Autograph Collection, Leopold, Nathan folder|C. Grolier Incorporated, a subsidiary of Scholastic, Inc.Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/MS0412-Leopold-Loeb-trial.jpg
Metadata/Crime-in-the-Archives/Making Money from Murder/Murder_Can_Be_Fun-no.12-J_Marr-1990.xml|The Art of Murder|1990|Zines|Marr, Johnny, 1961-|Murder--History--Periodicals; Violent crimes--History--Periodicals|In the 1970s, self-published magazines, called "zines" became an important voice for alternative or marginalized media. With the rise of punk culture, zines became means for communication in such areas as the queer and Riot Grrl movements. John Marr's "Murder Can Be Fun" series, which ran for over 20 years, looked at strange and unusual crimes through the lens of anti-establishment culture. Web browsers and the demise of independent book and record stores led to online zine publication.|Sevier Periodicals, AP 2.M87|c. John Marr, johnmarr1@yahoo.com. PO Box 640111. San Francisco, CA 94164Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/Murder_Can_Be_Fun-no.12-J_Marr-1990.jpg
Metadata/Crime-in-the-Archives/Making Money from Murder/Murder_Can_Be_Fun-no.14-J_Marr-1992.xml|Please Mr. Postman Don't Shoot|1992|Zines|Marr, Johnny, 1961-|United States Postal Service--Officials and employees--Crimes against--Periodicals; Postal service--United States--Employees--Periodicals; Murder--United States--History--Periodicals; Violent crimes--Periodicals|Issue number 14 of John Marr's "Murder Can Be Fun" zine tells the story of "going postal," looking at the history of shootings in post offices and how the postal workers were usually the victims of the crime, rather than the perpetrators. The issue also examines the history of riots in the U.S. and looks at other odd stories, including the great Nashville Train Wreck of 1918.|Sevier Periodicals, AP 2.M87|c. John Marr, johnmarr1@yahoo.com. PO Box 640111. San Francisco, CA 94164Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/Murder_Can_Be_Fun-no.14-J_Marr-1992.jpg
Metadata/Crime-in-the-Archives/Robbers/bonnieandclydepic1.xml|[Bonnie Parker and Clyde Barrow]|1932-04-03|Black-and-white photographs|NULL|Barrow, Clyde, 1909-1934|This photograph is purportedly of the outlaw couple Bonnie Parker (1910-1934) and Clyde Barrow (1909-1934) taken on April 3, 1932 in San Antonio, Texas.  These two along with their gang were the scourge of the southwest during the early 1930s. The couple participated in hundreds robberies before dying in a hail of gunfire by a posse in Bienville Parish, Louisiana. By then the legends of their exploits were spread across the country in the form of poems, news stories and dime novels glamorizing their lives.|James G. Stahlman Historical Autograph Collection, Barrow, Clyde|Can not determine if this really is Bonnie and Clyde or who to attribute the image to.Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/MS0412-C-Bonnie_and_Clyde-San_Antonio-April_3_1932.jpg
Metadata/Crime-in-the-Archives/Robbers/clydepic.xml|[Clyde Barrow]|1932-01-02|Black-and-white photographs|NULL|Barrow, Clyde, 1909-1934|This photograph of Clyde Barrow (1909-1934) cannot be confirmed though the writing on the back reads “Jan. 2, 1932 too much work- next time I will youse a tractor- bonnie is laughing at me- the sherrif cant shoot a dam- Clyde” Bonnie Parker (1910-1934) enjoyed photography and took a number of photographs of Clyde and the gang.  Undeveloped film was found at their hideout in Joplin, Missouri in 1933 and given to The Joplin Globe which published the images thus securing their fame as notorious criminals.  Long before their dramatic deaths on May 23, 1934 the adventures of Bonnie and Clyde were staples of newspapers and news reels.|James G. Stahlman Historical Autograph Collection, Barrow, Clyde|Can not determine if this really is Clyde or who to attribute the image to.Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/MS0412-C-Clyde_Barrow-Jan_2_1932
Metadata/Crime-in-the-Archives/Robbers/frankjamesphoto.xml|[Frank James]|1930|Black-and-white photographs|NULL|James, Frank, 1844-1915|Frank James (1843-1915) was part of the notorious James-Younger Gang. He and his younger brother, Jesse James roamed the South and Midwest robbing banks and running from the law for over thirty years. The most famous incident was the disastrous Northfield, Minnesota, raid on September 7, 1876, that ended with the death or capture of most of the gang. After his brother Jesse’s death in 1882 Frank turned himself in and served a little over a year in prison.|James G. Stahlman Historical Autograph Collection, Frank James File|Reproduction of an original image. This was used in a publication.Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/MS0412-C-Frank_James_portrait.jpg
Metadata/Crime-in-the-Archives/Robbers/MS0049-Jesse_James_lyrics-B01-F96-AB.xml|Jesse James II|NULL|NULL|Unknown|Folk songs|NULL|George O. Boswell Papers, Box 1, Folder 96|NULLNULL|NULL|PATH TO IMAGES/MS0049-Jesse_James_lyrics-B01-F96-AB.jpg
Metadata/Crime-in-the-Archives/Robbers/MS0412-C-Frank_James-1883-01-AB.xml|The Eclectic Elementary Geography|1883|Textbooks|NULL|James, Frank, 1844-1915|Frank James (1843-1915) lived in Nashville from 1877 to 1881 and went by the alias Ben J. Woodson.  At one point he resided at 814 Fatherland Street in what is now called East Nashville.  While living in and around the city Frank worked as a teamster, joined the Methodist church and had a son with his wife Annie.  Frank lived as a humble citizen for a few years before his brother Jesse enjoined him to return to the life of banditry. By the time he left Tennessee to return to Missouri the legend of the James Brothers was well known.|James G. Stahlman Historical Autograph Collection, Frank James File|Book was published in 1883.NULL|NULL|PATH TO IMAGES/MS0412-C-Frank_James-1883-01-AB.jpg
Metadata/Crime-in-the-Archives/Robbers/revolver.xml|Beaumont-Adams Revolver|1856|revolvers (firearms)|Deane, Adams & Deane Company|Adams revolvers|The Beaumont-Adams revolver is a muzzle-loading, double-action, percussion revolver created by the London firm of Deane, Adams and Deane from 1856 to 1880. Over 250,000 revolvers were produced many being sold to firms in the United States.  Both sides used them during the Civil War, particularly the Confederacy which bought large numbers of them early in the conflict. Revolvers such as this one would have been available to Frank and Jesse James as they fought for the Confederacy in Missouri with Quantrill’s Raiders.|James G. Stahlman Papers, Memorabilia|This Beaumont-Adams Revolver was created between 1856-1880NULL|NULL|NULL
Metadata/Photography/20150417SG014.xml|[Stereoscope]|1900|Stereoscopes|Underwood & Underwood|China--History--Boxer Rebellion, 1899-1901--Pictorial works|Hugely popular in schools and homes from the 1880s through the 1920s, stereoscopes were viewed with a hand-held viewer. By combining two nearly-identical images the experience mimicked a 3-D reality. One guide noted “The making of stereoscopic pictures is one of the most lucrative departments of photography, and the number and variety of subjects everywhere…make a collection of endless extent and beauty." Underwood & Underwood produced over 3 million stereocards in 40 years.|Private Collection|Created in c 1900. Firm out of business by 1921.Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/20150417SG014.jpg
Metadata/Photography/Eskind_VUMC-Camp_Hospital_France-1918.xml|[Surgical Ward VI, Camp Hospital 28 Nevers, France 1918]|1918-12-28|Black-and-white photographs|United States--Army--Signal Corps|World War, 1914-1918--Hospitals--Pictorial works|One of 122 camp hospitals, Camp Hospital 28 opened February 4, 1918, and housed wounded troops from 40 miles around Nevers.  Vanderbilt Unit S took over the hospital March 7.  From February until December, the staff treated over 3,000 cases. The hospital closed June 13, 1919, and staff returning to the U.S. sailed home from St. Nazaire June 23.  Souvenir photos (searchable by person, place or unit) were 15 cents; enlarged prints in 5 sizes ranged from $0.35 to $1.00 for a 20 x 24 inch print.|Vanderbilt History Files: Series 2, Folder 8, Image 25|Photo part of series made December, 1918 by US Army Signal Corps.  Published by US Government Printing Office in 1919 as Catalogue of Official A.E.F. Photographs, United States. War Dept. General Staff [Issue 903 of Document (United States. War Dept.)  -- Author: United States. War Dept. General Staff Contributor: United States. Army. Signal Corps part of Army Expeditionary Force.] US ASC 45859, page 494.Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/Eskind_VUMC-Camp_Hospital_France-1918.jpg
Metadata/Photography/Eskind_VUMC-Cancer_Cell-1956-42.xml|[HeLa Cancer Cell]|1956|Black-and-white photographs|NULL|HeLa cells--Pictorial works|Dr. Ernest Goodpasture was chair of pathology at Vanderbilt University from 1924-1955 and remains known for his work developing vaccines by culturing them in chicken eggs. Goodpasture used so-called immortal HeLa cells as many pathologists did after they became availble in 1951.The line was derived from cervical cancer cells (circled in red) taken on February 8, 1951, from cancer patient Henrietta Lacks.|MSS Collection 29, Ernest Goodpasture Papers, Series 13, Box19b, Folder1, Image 42|Per Eskind Library website, "Copyright is retained by the authors of items in these papers, or their descendants, as stipulated by United States copyright law."  No Goodpasture descendants have been located. Fair use.Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/Eskind_VUMC-Cancer_Cell-1956-42.jpg
Metadata/Photography/Eskind_VUMC-E_Goodpasture-scrapbook.xml|[Dr. Ernest W. Goodpasture in his lab]|1937|Black-and-white photographs|NULL|Goodpasture, Ernest William, 1886-1960--Pictorial works|Goodpasture studied medicine at Johns Hopkins University, earning his M.D. in 1912. He became interested in vaccines working at Chelsea Naval Hospital’s pathology lab during the 1918 influenza epidemic. In 1925, Goodpasture arrived at Vanderbilt as part of the move to modernize medical education in the South. He discovered how to culture vaccines in fertile hen’s eggs.  This discovery made possible effective, cheap vaccines for influenza, small pox and other diseases.|Ms Collection 29: Ernest Goodpasture Papers, Series 10, Box 16A, Folder 0003, Image 049|Photo possibly taken c1937 by William Gunter, Jr. at VUMC. Per Eskind Library website, "Copyright is retained by the authors of items in these papers, or their descendants, as stipulated by United States copyright law."  No Goodpasture or Gunter descendants have been located. Maker undetermined. Fair use.Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/Eskind_VUMC-E_Goodpasture-scrapbook.jpg
Metadata/Photography/Eskind_VUMC-K_Anderson-Scrapbook-A.xml|[Dr. Katherine Anderson in the laboratory]|1937|Black-and-white photographs|NULL|Anderson, Katherine, 1909---Pictorial works; Biological laboratories--Pictorial works|Katherine Anderson (1909-1995) received a PhD in bacteriology from Vanderbilt in 1940. Her interest in viruses led to her work in Dr. Goodpasture's lab. The couple married in 1945, after which she worked on environmental issues, natural habitats and ornithology.|Ms Collection 29, Ernest Goodpasture Papers, Series 10, Box 16a, Folder 3, Image 14|Per Eskind Library website, "Copyright is retained by the authors of items in these papers, or their descendants, as stipulated by United States copyright law."  No Goodpasture descendants have been located. Fair Use.Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/Eskind_VUMC-K_Anderson-Scrapbook-A.jpg
Metadata/Photography/Eskind_VUMC-Lt.Kennon-1917.xml|[Lt. Kennon's Moustache and Lesser Objects]|1918|Black-and-white photographs|NULL|World War, 1914-1918--Hospitals--Pictorial works|Dr. William G. Kennon specialized in surgery of the eye, ear, nose and throat. Vanderbilt and other medical schools recruited doctors and nurses to assist the American Expeditionary Force in France after the U.S. joined the war in 1917. One of 12 doctors from Vanderbilt, Kennon worked with Nashville-area nurses and enlisted men at Vanderbilt Hospital Unit S in Nevers, central France.  In contrast to the formal portraits, this image shows the photographer’s sense of humor.|Vanderbilt History Files: Series 2, Folder 8, Image 10|Photo taken c.1918 in France. No known photographer.Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/Eskind_VUMC-Lt.Kennon-1917.jpg
Metadata/Photography/Eskind_VUMC-Transit-in-France-1918.xml|[Rapid Transit in France]|1918|Black-and-white photographs|NULL|World War, 1914-1918--France--Pictorial works; Horse-drawn vehicles--France--Pictorial works|The unknown photographer may have been part of the medical staff serving at Camp Hospital 28 with the Vanderbilt unit.|Vanderbilt History Files: Series 2, Folder 8, Image 8|Photo taken c.1918 in France. No known photographer.Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/Eskind_VUMC-Transit_in_France-1918.jpg
Metadata/Photography/Eskind_VUMC-W_Gunter-Scrapbook.xml|[William Gunter, Jr. autopsy technician and photographer]|1937|Black-and-white photographs|NULL|Gunter, William Jr.--Pictorial works|Gunter was an autopsy technician in the Department of Pathology, as well as a skilled photographer praised by Goodpasture for his work for pathology and other departments.  Bill’s brother Albert and his father Bill Sr., both worked in pathology as assistants or deaners.|Ms Collection 29: Ernest Goodpasture Papers, Series 10, Box 16A, Folder 003, Image 025|Per Eskind Library website, "Copyright is retained by the authors of items in these papers, or their descendants, as stipulated by United States copyright law."  No Goodpasture or Gunter descendants have been located. Maker undetermined; Fair Use.Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/Eskind_VUMC-W_Gunter-scrapbook.jpg
Metadata/Photography/Eskind_VUMC-WW1-Hospital_Mess-1918.xml|[Officers' and Nurses' Mess, Camp Hospital 28, Nevers, France 1918]|1918-12-28|Black-and-white photographs|United States--Army--Signal Corps|World War, 1914-1918--Hospitals--Pictorial works|The American Expeditionary Forces depended upon regular train service, and hospitals were positioned near major railroad junctions.  Nevers, 150 miles south of Paris, was a central supply depot for matériel, veterinary hospitals and hospitals.   Officers at front table include left to right: Dr. Witt, Unknown, Dr. Dixon, Dr. McKinney, Dr. McCabe.  One officer recalled “We had over 17,000 shattered bones to mend, over 3,500 arms and legs to amputate and 20 times that many to save.”|Vanderbilt History Files: Series 2, Folder 8, Image 16|Photo part of series made December, 1918 by US Army Signal Corps.  Published by US Government Printing Office in 1919 as Catalogue of Official A.E.F. Photographs, United States. War Dept. General Staff [Issue 903 of Document (United States. War Dept.)  -- Author: United States. War Dept. General Staff Contributor: United States. Army. Signal Corps part of Army Expeditionary Force.] US ASC 45874, page 494.Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/Eskind_VUMC-WW1-Hospital_Mess-1918.jpg
Metadata/Photography/Eskind_VUMC-WW1-Nurses-1918.xml|[Nurses with the Vanderbilt Hospital in France]|1919-01-21|Black-and-white photographs|United States--Army--Signal Corps|World War, 1914-1918--Hospitals--Pictorial works; Nurses--1910-1920--Pictorial works|In Nashville, Confederate veterans raised $887 selling newspapers and sent small Christmas gifts of 84 French francs to 31 privates and 16 nurses in 1918.  The Vanderbilt unit, like others from major American hospitals, included doctors and local nurses, many from Davidson County. Head Nurse Catherine Sinnot worked for St. Thomas Hospital and was awarded the Distinguished Service Medal (DSM) for her "splendid leadership, tireless energy, and unselfish devotion."  Few nurses were identified in the photos.|Vanderbilt History Files: Series 2, Folder 8, Image 3|Photo part of series made December,1918 and later by US Army Signal Corps.  Published by US Government Printing Office in 1919 as Catalogue of Official A.E.F. Photographs, United States. War Dept. General Staff [Issue 903 of Document (United States. War Dept.)  -- Author: United States. War Dept. General Staff Contributor: United States. Army. Signal Corps part of Army Expeditionary Force.] US ASC 46428, Page 505.  Creation dates from USASC 1919 Catalog index.Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/Eskind_VUMC-WW1-Nurses-1918.jpg
Metadata/Photography/Eskind_VUMC-WW1-Vanderbilt_Unit-1917.xml|[Vanderbilt Unit, World War I, August 1, 1917]|1917-08-01|Black-and-white photographs|Unknown|World War, 1914-1918--Pictorial works; Hospitals--Medical staff--Pictorial works|Over 2,500 Vanderbilt men served in World War I once the United States joined the fighting in April, 1917. The Vanderbilt unit included 12 doctors, enlisted men and nurses. Most of its members served 150 miles from Paris at Nevers, in central France. Camp Hospital 28 had 450 patient beds and surgeries, laundries, labs and other buildings required to provide medical care.|Vanderbilt History Files: Series 2, Folder 8, Image 5|photo taken August 1, 1917 during training at Fort McPherson, GA.Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/Eskind_VUMC-WW1-Vanderbilt_Unit-1917.jpg
Metadata/Photography/FreedomPress_Camera_12.xml|[Jack Corn's Nikon Camera]|unknown|35mm cameras|Nikon, inc.|Nikon camera--Specimens|Jack Corn described his work as dependent on lighting conditions: “No matter how much talent a professional photographer has, one keeper, i.e. a good photograph, per one roll of film is a good harvest.” He made these images from 1956 to 1979 in Appalachian towns while staff photographer for The Tennessean newspaper in Nashville, and for the Documerica project, photographing -- environmental damage in coal fields. Corn was photojournalist in residence at Western Kentucky University from 1977 to 1984.|MSS Collection 0774|Corn granted rights to Vanderbilt for the 2012 exhibition.Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/FreedomPress_Camera_12.jpg
Metadata/Photography/Heart of the Mosquito Anopheles Gambiae.xml|[Heart of the Mosquito Anopheles Gambiae ]|2010|photomicrographs|Jonas G. King; Julián F. Hillyer|Photomicrography|The mosquito heart is a long muscular tube that is tethered to the dorsal cuticle (the mosquito’s back) and extends the length of the abdomen.  To obtain this fluorescence microphotograph, a mosquito was dissected, isolating the dorsal portion of the abdomen. Two fluorescent dyes were applied.  One binds muscle cells and stains them green.  The second binds DNA and stains cell nuclei blue.  The image is viewed top down, with the mosquito’s body lying horizontally with its head toward the right out of the frame.  The heart is the narrow tube with that extends horizontally across the entire photograph.|Hillyer image,  Department of Biological Sciences and Institute for Global Health|Permission pending from Dr. Hillyer, Department of Biological Sciences.  Dr. Julian F. Hillyer -- Associate Professor, Vanderbilt University -- Department of Biological Sciences and Institute for Global Health -- VU Station B, 35-1634 -- Nashville, TN 37235-1634 -- email: julian.hillyer@vanderbilt.edu -- phone: 615-343-2065 -- www.vanderbilt.edu/hillyerlab/ -- https://medschool.mc.vanderbilt.edu/biosci/bio_fac.php?id3=16975Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|NULL
Metadata/Photography/MS0031-Andromeda-slide21.xml|[Andromeda Galaxy]|1887|Black-and-white photographs; Astrophotographs|Barnard, Edward Emerson, 1857-1923|Astronomical photography--Specimens|Barnard was known for photographs of galaxies, especially after joining the University of Chicago's Yerkes Observatory.  While clear skies in California made observations easy, in Wisconsin, conditions at Yerkes Observatory were hampered by poor weather.  Although 2.5 million light-years away, Andromeda galaxy is our largest and closest galactic neighbor.|MSS 0031, Box 43, Folder 5|Emerson died in 1923. Used in earlier Library Exhibits.Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/MS0031-Andromeda-slide21.jpg
Metadata/Photography/MS0031-Barnard-Lick-Obsrv1913.xml|[Lick Observatory, Mt. Hamilton, CA]|1902|Black-and-white photographs; Astrophotographs|Barnard, Edward Emerson, 1857-1923|Lick Observatory--Pictorial works|Barnard moved to California in 1887 to inaugurate the new observatory at Mount Hamilton near San Jose. He discovered the first non-Galilean moon of Jupiter, Amalthea, in September 1892, over 275 years after Galileo's discoveries. Observatory staff fought over access to the 36-inch telescope, making working conditions difficult. Barnard moved to Yerkes Observatory in Williams Bay, Wisconsin in 1895 with an astronomy appointment at the Unversity of Chicago.|MSS Collection 0031, Box 43, Folder 05|Barnard died in 1923.Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/MS0031-Barnard-Lick-Obsrv1913.jpg
Metadata/Photography/MS0031-Barnard-Lick-Obsrv1913A.xml|[Barnard with 36-inch refractor telescope at Lick Observatory, CA]|1887|Black-and-white photographs|Barnard, Edward Emerson, 1857-1923|Barnard, Edward Emerson, 1857-1923--Pictorial works; Refracting telescopes--Pictorial works; Telescopes--Pictorial works|While at Lick Observatory, Barnard was the first astronomer to discover a comet using photgraphic plates. In 1889, he became the first astronomer to observe the eclipse of Saturn's satelite Iapetus.|MSS Collection 0031, Box 43, Folder 05|Emerson died in 1923.Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/MS0031-Barnard-Lick-Obsrv1913.jpg
Metadata/Photography/MS0031-Braid-Barnard-Calvert.xml|[Edward Emerson Barnard with J.W. Braid and P.R.Calvert]|1870|Black-and-white photographs|Poole, Rodney|NULL|Emerson (center) worked for two Nashville photography studios from an early age. His boss, J.W. Braid (on his left), gave him his first telescope. Peter Ross Calvert (on his right) introduced Barnard to his sister Rhoda. The two married in 1881. Calvert and his brother Ebenezer opened a studio in Nashville in the 1880s. Their photographs of Nashville give us a glimpse into life in middle Tennessee dfuring the first half of the 20th century.|MSS Collection 0031, Box 43, Folder 009|Emerson died in 1923. This image c. 1870, dates to the era before his astronomy career took off.Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/MS0031-Braid-Barnard-Calvert.jpg
Metadata/Photography/MS0031-Jupiter_Camera-c1885.xml|[Jupiter Camera, Nashville, TN]|1866|Black-and-white photographs|NULL|Astronomical photography; Cameras--Pictorial works|Barnard worked in John H. Van Stavoren's Nashville  photo studio as a nine-year-old. He had to keep this solar camera, designed to make life-sized enlargements on silvered paper from negatives, directed on the sun to avoid setting fire to nearby buildings. This meant spending hours awake on the roof in all weather. The poor quality of the paper, which was difficult to obtain in Nashville during the early Reconstruction, required the immense lens to produce an intense solar beam.|MSS Collection 0031, Photo Box|Emerson died in 1923.Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/MS0031-Jupiter_Camera-c1885.jpg
Metadata/Photography/MS0031-P-Barnard-Total-Eclipse-June_8_1918.xml|[Total Eclipse of the Sun, June 8, 1918]|1918-06-08|Lantern slides|Barnard, Edward Emerson, 1857-1923|Astronomical Photography; Total solar eclipses--Pictorial works|Barnard pioneered astrophotography as well as discovering 15 comets and the first non-Galilean moon of Jupiter. His astronomical photographs were published posthumously as A Photographic Atlas of Selected Regions of the Milky Way (1927) completed by the director of Yerkes Observatory, and Mary R. Calvert, Barnard's niece, who worked as his assistant.|MSS Collection 0031, Box 43, Folder 002|Emerson died in 1923.Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/MS0031-P-Barnard-Total_Eclipse-June_8_1918.jpg
Metadata/Photography/MS0031-Saturn's-Moon-aged-5-days-Yerkes-NOTFOUNDYET.xml|NULL|1885|Black-and-white photographs|Barnard, Edward Emerson, 1857-1923|Astronomical Photography|NULL|MSS Collection 0031|Emerson died in 1923.Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/[image filename]
Metadata/Photography/MS0031-Solar-Eclipse-Slide_11.xml|[Solar Eclipse]|1887|Black-and-white photographs|Barnard, Edward Emerson, 1857-1923|Astronomical Photography--Pictorial works; Total solar eclipses--Pictorial works|While at Lick Observatory, Barnard was the first astronomer to discover a comet using photographic plates. In 1889, he became the first astronomer to observe the eclipse of Saturn's satellite Iapetus.  His pioneering astrophotography and discovery of 20 comets made him a legendary figure.  His astronomical photographs were published after his death as A Photographic Atlas of Selected Regions of the Milky Way.|MSS Collection 0031, Box 43, Folder 005|Emerson died in 1923.Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/MS0031-SolarEclipse-slide11.jpg
Metadata/Photography/MS0031.Barnard-Lick Obsrv-1913.xml|[Lick Observatory, Mt. Hamilton, CA]|1902|Black-and-white photographs; Astrophotographs|Barnard, Edward Emerson, 1857-1923|Lick Observatory--Pictorial works; Barnard, Edward Emerson, 1857-1923--Portraits|Barnard moved to California in 1887 to inaugurate the new observatory at Mount Hamilton near San Jose. He discovered the first non-Galilean moon of Jupiter, Amalthea, in September 1892, over 275 years after Galileo's discoveries. Observatory staff fought over access to the 36-inch telescope, making working conditions difficult. Barnard moved to Yerkes Observatory in Williams Bay, Wisconsin, in 1895 with an astronomy appointment at the Unversity of Chicago.|MSS 0031, Box 43, Folder 05|Barnard died in 1923.Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/MS0031-Barnard-Lick-Obsrv1913.jpg
Metadata/Photography/MS0123-P-Centennial_Cufflinks-1897.xml|[Tennessee Centennial and International Exposition Souvenir Lapel Pins]|1897|Lapel Pins|Whitehead and Hoag (Firm)|Tennessee Centennial and International Exposition (1897 : Nashville, Tenn.)|The six-month Tennessee Centennial Exposition attracted over one-and-a-half-million tourists to see the “Athens of the South.”  Despite extensive railway promotion by W.A. Henderson and other railroad executives, attendance was low due to an outbreak of Yellow Fever across the Gulf States. Like San Francisco's Palace of Fine Arts, Nashville's Parthenon was recreated in the 1920s. Souvenirs like these circulated widely in the United States after expositions in Philadelphia (1876) and in Chicago (1893).|Ms. 123|Objects made in 1897 to promote TN Centennial Exposition.Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/MS0123-P-Centennial_Cufflinks-1897.jpg
Metadata/Photography/MS0242-Kirkland_family_relative.xml|[Kirkland Family Relative]|1875|Card photographs (photographs)|NULL|Corsets--pictorial works; Portrait photography--Specimens|Today when a cellphone holds thousands of photos, it’s easy to forget that holding a loved one’s image in your hand was until recently, impossible for all but the wealthy. This young woman, posing for her portrait, wears her corset laced to an uncommonly small size. Although corsets are mythologized as sex objects today, in the 19th century, corsets were worn by all women who wanted their body shape to conform to the current style. By the 1880s, small round waists were equated with good breeding and gentility.|Mss0242, Box38, F11 "PH Arch/ Kirkland Family box, F "Kirkland and Henderson relatives"|Image made c. 1880 based on narrow waist.Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/MS0242-Kirkland_family_relative.jpg
Metadata/Photography/MS0242-P-Becky_Grandma_Henderson's_Cook-1890.xml|[Becky, Grandma Henderson's Cook]|unknown|Card photographs (photographs)|G.W. Weiser|Women cooks--Portraits; Portrait photography--Specimens|Weiser’s four studios across downtown Knoxville catered to the residents of a booming industrial and violent city in the early 1900s.  Railroad expansion after the Civil War connected eastern Tennessee with the rest of the South, bringing Welsh, Swiss and other immigrants.  Becky’s large sleeves and the studio’s address on W. Clinch Street  date this photo to about 1896, when William Henderson and his wife Harriet would have been busy with plans for the Tennessee Centennial Exposition.|MS0242 Box "PH Arch/Kirk;and & Henderson Family"|Image made c. 1890 by unknown photographer.Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/MS0242-P-Becky-Grandma_Henderson's_Cook-1890.jpg
