BASE_URI	TITLE	DATE	FORMAT	CONTRIBUTOR	SUBJECT	DESCRIPTION	SOURCE	RIGHTS	FILE_PATH	FILE_NAME	TAGS
Metadata/Crime-in-the-Archives/Robbers/MS0412-C-Frank_James-1883-01-AB.xml	The Eclectic Elementary Geography	1883	Textbooks		James, Frank, 1844-1915	Frank James (1843-1915) lived in Nashville from 1877 to 1881 and went by the alias Ben J. Woodson. At one point, he resided at 814 Fatherland Street in what is now called East Nashville. While living in and around the city, Frank worked as a teamster, joined the Methodist Church and had a son with his wife, Annie. Frank lived as a humble citizen for a few years before his brother Jesse convinced him to return to the life of banditry. By the time he left Tennessee to return to Missouri, the legend of the James Brothers was well known.	MSS0412, James G. Stahlman Historical Autograph Collection, Frank James folder	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/MS0412-C-Frank_James-1883-01-AB.jpg	MS0412-C-Frank_James-1883-01-AB.jpg	Crime in the Archives|Robbers|2015 Exhibits
Metadata/Crime-in-the-Archives/Robbers/MS0412-C-Frank_James_portrait.xml	[Frank James]	unknown	Black-and-white photographs		James, Frank, 1844-1915--Portraits	Frank James (1843-1915) was part of the notorious James-Younger Gang. He and his younger brother, Jesse James, roamed the South and Midwest robbing banks and running from the law for over thirty years. The most famous incident was the disastrous Northfield, Minnesota, raid on September 7, 1876, that ended with the death or capture of most of the gang. After his brother Jesse’s death in 1882, Frank turned himself in and served a little over a year in prison.	MSS0412, James G. Stahlman Historical Autograph Collection, Frank James folder	Copyright; use considered fair according to the ARL Code of Best Practices in Fair Use	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/MS0412-C-Frank_James_portrait.jpg	MS0412-C-Frank_James_portrait.jpg	Crime in the Archives|Robbers|2015 Exhibits
Metadata/Photography/20150417SG014.xml	[Stereoscope]	1900	Stereoscopes	Underwood & Underwood	China--History--Boxer Rebellion, 1899-1901--Pictorial works	Hugely popular in schools and homes from the 1880s through the 1920s, stereoscopic images were seen with a hand-held stereoscope. By combining two nearly-identical images the experience mimicked a 3-D reality. One guide noted “The making of stereoscopic pictures is one of the most lucrative departments of photography, and the number and variety of subjects everywhere…make a collection of endless extent and beauty." Underwood & Underwood produced over 3 million stereocards in 40 years.	Item on loan from a private collection	Copyright; licensed to Vanderbilt University	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/20150417SG014.jpg	20150417SG014.jpg	Photography|2015 Exhibits
Metadata/Photography/20150417SG028.xml	[Baby Brownie Camera]	1939-09-01	35 mm camera	Eastman Kodak Company	Brownie camera--Specimens	First introduced in 1900, the Kodak Brownie camera sold for only $1.00, and allowed users to make photographs easily and cheaply. Brownies were portable and recorded people as they were and as they wanted to be seen at the beach, at Coney Island, on a downtown streetcar or automobile. Kodak’s slogan was “You press the button, we do the rest.”	Item on loan from the collection of Pamela J. Morgan	Copyright; licensed to Vanderbilt University	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/20150417SG028.jpg	20150417SG028.jpg	Photography|2015 Exhibits
Metadata/Photography/Eskind_VUMC-Camp_Hospital_France-1918.xml	[Surgical Ward VI, Camp Hospital 28 Nevers, France 1918]	1918-12-28	Black-and-white photographs	United States. Army. Signal Corps	World War, 1914-1918--Hospitals--Pictorial works	One of 122 camp hospitals, Camp Hospital 28 opened February 4, 1918, and housed wounded troops from 40 miles around Nevers. Vanderbilt Unit S took over the hospital March 7. From February until December, the staff treated over 3,000 cases. The hospital closed June 13, 1919, and staff returning to the U.S. sailed home from St. Nazaire June 23. Souvenir photographs (searchable by person, place or unit) were 15 cents; enlarged prints in five sizes ranged from $0.35 to $1.00 for a 20 x 24 inch print.	Vanderbilt History Files: Series 2, Folder 8, Image 25	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/Eskind_VUMC-Camp_Hospital_France-1918.jpg	Eskind_VUMC-Camp_Hospital_France-1918.jpg	Photography|2015 Exhibits
Metadata/Photography/Eskind_VUMC-Cancer_Cell-1956-42.xml	[HeLa Cancer Cell]	1956	Black-and-white photographs		HeLa cells--Pictorial works	Dr. Ernest Goodpasture was chair of pathology at Vanderbilt University from 1924-1955 and remains known for his work developing vaccines by culturing them in fertile chicken eggs. Goodpasture used so-called immortal HeLa cells as many pathologists did after they became available in 1951.The line was derived from cervical cancer cells (circled in red) taken on February 8, 1951, from cancer patient Henrietta Lacks.	MSS0029, Ernest Goodpasture Papers, Series 13, Box 19b, Folder 1, Image 42	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/Eskind_VUMC-Cancer_Cell-1956-42.jpg	Eskind_VUMC-Cancer_Cell-1956-42.jpg	Photography|2015 Exhibits
Metadata/Photography/Eskind_VUMC-E_Goodpasture-scrapbook.xml	[Dr. Ernest W. Goodpasture in His Lab]	1937	Black-and-white photographs		Goodpasture, Ernest William, 1886-1960--Portraits	Ernest Goodpasture studied medicine at Johns Hopkins University, earning his M.D. in 1912. He became interested in vaccines working at Chelsea Naval Hospital’s pathology lab during the 1918 influenza epidemic. In 1925, Dr. Goodpasture arrived at Vanderbilt as part of the move to modernize medical education in the South. He discovered how to culture vaccines in fertile hen’s eggs. This discovery made possible effective, cheap vaccines for influenza, small pox and other diseases.	MSS0029, Ernest Goodpasture Papers, Series 10, Box 16A, Folder 03, Image 049	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/Eskind_VUMC-E_Goodpasture-scrapbook.jpg	Eskind_VUMC-E_Goodpasture-scrapbook.jpg	Photography|2015 Exhibits
Metadata/Photography/Eskind_VUMC-K_Anderson-Scrapbook-A.xml	[Dr. Katherine Anderson in the Laboratory]	1937	Black-and-white photographs		Anderson, Katherine, 1909---Portraits|Biological laboratories--Pictorial works	Katherine Anderson (1909-1995) received a PhD in bacteriology from Vanderbilt in 1940. Her interest in viruses led to her work in Dr. Goodpasture's lab. The couple married in 1945, after which she worked on environmental issues, natural habitats and ornithology.	MSS0029, Ernest Goodpasture Papers, Series 10, Box 16A, Folder 3, Image 14	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/Eskind_VUMC-K_Anderson-Scrapbook-B.jpg	Eskind_VUMC-K_Anderson-Scrapbook-B.jpg	Photography|2015 Exhibits
Metadata/Photography/Eskind_VUMC-K_Anderson-Scrapbook-B.xml	[Dr. Katherine Anderson in the Laboratory]	1937	Black-and-white photographs		Anderson, Katherine, 1909---Portraits|Biological laboratories--Pictorial works	Katherine Anderson (1909-1995) received a PhD in bacteriology from Vanderbilt in 1940. Her interest in viruses led to her work in Dr. Ernest Goodpasture's lab. The couple married in 1945, after which she worked on environmental issues, natural habitats and ornithology.	MSS0029, Ernest Goodpasture Papers, Series 10, Box 16A, Folder 3, Image 14	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/Eskind_VUMC-K_Anderson-Scrapbook-B.jpg	Eskind_VUMC-K_Anderson-Scrapbook-B.jpg	Photography|2015 Exhibits
Metadata/Photography/Eskind_VUMC-Lt.Kennon-1917.xml	Lt. Kennon's Moustache and Lesser Objects	1918	Black-and-white photographs		World War, 1914-1918--Hospitals--Pictorial works	Dr. William G. Kennon specialized in surgery of the eye, ear, nose and throat. Vanderbilt and other medical schools recruited doctors and nurses to assist the American Expeditionary Force in France after the U.S. joined the war in 1917. One of 12 doctors from Vanderbilt, Kennon worked with Nashville-area nurses and enlisted men at Vanderbilt Hospital Unit S in Nevers, Central France. In contrast to the formal portraits, this image shows the photographer’s sense of humor.	Vanderbilt History Files: Series 2, Folder 8, Image 10	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/Eskind_VUMC-Lt.Kennon-1917.jpg	Eskind_VUMC-Lt.Kennon-1917.jpg	Photography|2015 Exhibits
Metadata/Photography/Eskind_VUMC-Transit-in-France-1918.xml	Rapid Transit in France	1918	Black-and-white photographs		World War, 1914-1918--France--Pictorial works|Horse-drawn vehicles--France--Pictorial works	Many soldiers in the American Expeditionary Forces took their cameras to war. The unknown photographer was likely part of the Vanderbilt Unit serving at Camp Hospital 28. Despite the Army Signal Corps’ sales of souvenir photographs of units and AEF infrastructure, personal images like this one showed a more informal side of daily life in France. The other two photographs titled by the photographer, perhaps as a joke, are “Lt. Kennon’s Moustache and Lesser Objects” and “Representing Various Scholarly Attitudes.”	Vanderbilt History Files: Series 2, Folder 8, Image 8	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/Eskind_VUMC-Transit_in_France-1918.jpg	Eskind_VUMC-Transit_in_France-1918.jpg	Photography|2015 Exhibits
Metadata/Photography/Eskind_VUMC-WW1-Hospital_Mess-1918.xml	[Officers' and Nurses' Mess, Camp Hospital 28, Nevers, France 1918]	1918-12-28	Black-and-white photographs	United States. Army. Signal Corps	World War, 1914-1918--Hospitals--Pictorial works	The American Expeditionary Forces depended upon regular train service and hospitals were positioned near major railroad junctions. Nevers, 150 miles south of Paris, was a central supply depot for matériel, veterinary hospitals and hospitals. Officers at front table include left to right: Dr. Witt, Unknown, Dr. Dixon, Dr. McKinney and Dr. McCabe. One officer recalled “We had over 17,000 shattered bones to mend, over 3,500 arms and legs to amputate and 20 times that many to save.”	Vanderbilt History Files: Series 2, Folder 8, Image 16	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/Eskind_VUMC-WW1-Hospital_Mess-1918.jpg	Eskind_VUMC-WW1-Hospital_Mess-1918.jpg	Photography|2015 Exhibits
Metadata/Photography/Eskind_VUMC-WW1-Nurses-1918.xml	[Nurses with the Vanderbilt Hospital in France]	1919-01-21	Black-and-white photographs	United States. Army. Signal Corps	World War, 1914-1918--Hospitals--Pictorial works|Nurses--1910-1920--Pictorial works	Few nurses were identified in the Army Signal Corps photographs of nursing units. The Vanderbilt Unit included doctors and local nurses from Davidson County. Head Nurse Catherine Sinnot had worked for St. Thomas Hospital and was awarded the Distinguished Service Medal for her "splendid leadership, tireless energy, and unselfish devotion."  In 1918, Nashville’s Confederate veterans raised $887 to send small Christmas gifts of French money to 31 privates and 16 nurses, perhaps Sinnot and her colleagues shown here.	Vanderbilt History Files: Series 2, Folder 8, Image 3	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/Eskind_VUMC-WW1-Nurses-1918.jpg	Eskind_VUMC-WW1-Nurses-1918.jpg	Photography|2015 Exhibits
Metadata/Photography/Eskind_VUMC-WW1-Vanderbilt_Unit-1917.xml	[Vanderbilt Unit, World War I, August 1, 1917]	1917-08-01	Black-and-white photographs		World War, 1914-1918--Pictorial works|Hospitals--Medical staff--Pictorial works	Over 2,500 Vanderbilt men served in World War I once the United States joined the fighting in April 1917. The Vanderbilt Unit included 12 doctors, enlisted men and nurses from Tennessee. Most of its members served 150 miles from Paris at Nevers, in Central France. Camp Hospital 28 had 450 patient beds and surgeries, laundries, labs and other buildings required to provide medical care.	Vanderbilt History Files: Series 2, Folder 8, Image 5	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/Eskind_VUMC-WW1-Vanderbilt_Unit-1917.jpg	Eskind_VUMC-WW1-Vanderbilt_Unit-1917.jpg	Photography|2015 Exhibits
Metadata/Photography/Eskind_VUMC-W_Gunter-Scrapbook.xml	[William Gunter, Jr. Autopsy Technician and Photographer]	1937	Black-and-white photographs		Gunter, William Jr.--Pictorial works	William Gunter, Jr. was an autopsy technician in the department of pathology, as well as a skilled photographer praised by Dr. Goodpasture for his work for pathology and other departments. William’s brother Albert and his father Bill Sr., both worked in pathology as assistants or deaners.	MSS0029: Ernest Goodpasture Papers, Series 10, Box 16A, Folder 003, Image 025	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/Eskind_VUMC-W_Gunter-scrapbook.jpg	Eskind_VUMC-W_Gunter-scrapbook.jpg	Photography|2015 Exhibits
Metadata/Photography/FreedomPress_Camera_12.xml	[Jack Corn's Nikon Camera]	1960	35 mm camera	Nikon, inc.	Nikon camera--Specimens	Jack Corn described his work as dependent on lighting conditions: “No matter how much talent a professional photographer has, one keeper, i.e. a good photograph, per one roll of film is a good harvest.” He made these images from 1956 to 1979 in Appalachian towns while staff photographer for The Nashville Tennessean newspaper and for the Documerica project, photographing environmental damage in coal fields. Corn was photojournalist in residence at Western Kentucky University from 1977 to 1984.	MSS0774, Jack Corn Collection	Copyright; licensed to Vanderbilt University	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/FreedomPress_Camera_12.jpg	FreedomPress_Camera_12.jpg	Photography|2015 Exhibits
Metadata/Photography/Heart of the Mosquito Anopheles Gambiae.xml	[Heart of the Mosquito Anopheles Gambiae]	2010	Photomicrographs	King, Jonas Glenn|Hillyer, Julián F.	Photomicrography	The mosquito heart is a long muscular tube tethered to the dorsal cuticle (the mosquito’s back), extending the length of the abdomen.  To obtain this fluorescence microphotograph, a mosquito was dissected, isolating the dorsal portion of the abdomen. Two fluorescent dyes were applied.  One binds muscle cells and stains them green.  The second binds DNA and stains cell nuclei blue.  The image is viewed top down. The heart is the narrow tube that extends horizontally across the entire photograph.	Department of Biological Sciences and Institute for Global Health, Hillyer image	Copyright; licensed to Vanderbilt University courtesy of Dr. Jonas G. King and Professor Julián F. Hillyer, Vanderbilt University Department of Biological Sciences	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/Mosquito Heart Dept_of_Biological_Sciences.jpg	Mosquito Heart Dept_of_Biological_Sciences.jpg	Photography|2015 Exhibits
Metadata/Photography/MS0031-Andromeda-slide21.xml	[Andromeda Galaxy]	1887	Black-and-white photographs|Astrophotographs	Barnard, Edward Emerson, 1857-1923	Astronomical photography--Specimens	Edward Emerson Barnard was known for his photographs of galaxies, especially after joining the University of Chicago's Yerkes Observatory. Each image took many hours of exposure. While clear skies in California made observations easy, in Wisconsin, conditions were hampered by poor weather. Although 2.5 million light-years away, Andromeda galaxy is our largest and closest galactic neighbor.	MSS0031, Edward Emerson Barnard Papers, Box 43, Folder 5	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/MS0031-Andromeda-slide21.jpg	MS0031-Andromeda-slide21.jpg	Photography|2015 Exhibits
Metadata/Photography/MS0031-Barnard-Lick-Obsrv1893.xml	[Barnard Leaning against Telescope at Lick Observatory, Mt. Hamilton, CA]	1893	Black-and-white photographs	Barnard, Edward Emerson, 1857-1923	Barnard, Edward Emerson, 1857-1923--Pictorial works|Refracting telescopes--Pictorial works|Telescopes--Pictorial works	Barnard moved to California in 1887 to inaugurate the new observatory at Mount Hamilton near San Jose. He discovered the first non-Galilean moon of Jupiter, Amalthea, in September 1892 over 275 years after Galileo's discoveries. Observatory staff fought over access to the 36-inch telescope, making working conditions difficult. Barnard moved to Yerkes Observatory in Williams Bay, Wisconsin in 1895 with an astronomy appointment at the University of Chicago.	MSS0031, Edward Emerson Barnard Papers, Box 43, Folder 05	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/MS0031-Barnard-Lick-Obsrv1893.jpg	MS0031-Barnard-Lick-Obsrv1893.jpg	Photography|2015 Exhibits
Metadata/Photography/MS0031-Barnard-Lick-Obsrv1913.xml	[Barnard with Refractor Telescope at Lick Observatory, CA]	1887	Black-and-white photographs	Barnard, Edward Emerson, 1857-1923	Barnard, Edward Emerson, 1857-1923--Pictorial works|Refracting telescopes--Pictorial works|Telescopes--Pictorial works	While at Lick Observatory, Barnard was the first astronomer to discover a comet using photgraphic plates. In 1889, he became the first astronomer to observe the eclipse of Saturn's satellite Iapetus.	MSS0031, Edward Emerson Barnard Papers, Box 43, Folder 05	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/MS0031-Barnard-Lick-Obsrv1913.jpg	MS0031-Barnard-Lick-Obsrv1913.jpg	Photography|2015 Exhibits
Metadata/Photography/MS0031-Braid-Barnard-Calvert.xml	[Edward Emerson Barnard with J.W. Braid and P.R.Calvert]	1870	Black-and-white photographs	Poole, Rodney		Barnard (center) worked for a Nashville photography studio from an early age. His boss and mentor J.W. Braid (on his left) gave him his first telescope. P.R. Calvert (on his right) introduced Barnard to his sister Rhoda; they married in 1881.	MSS0031, Edward Emerson Barnard Papers, Box 43, Folder 09	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/MS0031-Braid-Barnard-Calvert.jpg	MS0031-Braid-Barnard-Calvert.jpg	Photography|2015 Exhibits
Metadata/Photography/MS0031-Jupiter_Camera-c1885.xml	[Jupiter Camera, Nashville, TN]	1866	Black-and-white photographs		Astronomical photography|Cameras--Pictorial works	Edward Emerson Barnard worked in John H. Van Stavoren's Nashville photography studio as a nine-year-old. He had to keep this solar camera, designed to make life-sized enlargements on silvered paper from negatives, directed on the sun to avoid setting fire to nearby buildings. This meant spending hours awake on the roof in all weather. The poor quality of the paper, which was difficult to obtain in Nashville during early Reconstruction, required the immense lens to produce an intense solar beam.	MSS0031, Edward Emerson Barnard Papers, Photo Box	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/MS0031-Jupiter_Camera-c1885.jpg	MS0031-Jupiter_Camera-c1885.jpg	Photography|2015 Exhibits
Metadata/Photography/MS0031-P-Barnard-Total-Eclipse-June_8_1918.xml	[Total Eclipse of the Sun, June 8, 1918]	1918-06-08	Lantern slides	Barnard, Edward Emerson, 1857-1923	Astronomical Photography|Total solar eclipses--Pictorial works	Barnard pioneered astrophotography as well as discovering 15 comets and the first non-Galilean moon of Jupiter. His astronomical photographs were published posthumously as A Photographic Atlas of Selected Regions of the Milky Way (1927) completed by the director of Yerkes Observatory and Mary R. Calvert, Barnard's niece, who worked as his assistant.	MSS0031, Edward Emerson Barnard Papers, Box 43, Folder 02	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/MS0031-P-Barnard-Total_Eclipse-June_8_1918.jpg	MS0031-P-Barnard-Total_Eclipse-June_8_1918.jpg	Photography|2015 Exhibits
Metadata/Photography/MS0031-Solar-Eclipse-Slide_11.xml	[Solar Eclipse]	1887	Black-and-white photographs	Barnard, Edward Emerson, 1857-1923	Astronomical Photography--Pictorial works|Total solar eclipses--Pictorial works	While at Lick Observatory, Barnard was the first astronomer to discover a comet using photographic plates. In 1889, he became the first astronomer to observe the eclipse of Saturn's satellite Iapetus.  His pioneering astrophotography and discovery of 20 comets made him a legendary figure.  His astronomical photographs were published after his death as A Photographic Atlas of Selected Regions of the Milky Way.	MSS0031, Edward Emerson Barnard Papers, Box 43, Folder 005	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/MS0031-SolarEclipse-slide11.jpg	MS0031-SolarEclipse-slide11.jpg	Photography|2015 Exhibits
Metadata/Photography/MS0123-P-Centennial_Cufflinks-1897.xml	[Souvenir Lapel Pins]	1897	Lapel Pins	Whitehead and Hoag (Firm)	Tennessee Centennial and International Exposition (1897 : Nashville, Tenn.)	The six-month Tennessee Centennial and International Exposition attracted over one-and-a-half-million tourists to see the “Athens of the South.” Despite extensive railway promotion by W.A. Henderson and other railroad executives, attendance was low due to an outbreak of yellow fever across the Gulf States. Like San Francisco's Palace of Fine Arts, Nashville's Parthenon was recreated in the 1920s. Souvenirs like these circulated widely in the United States after expositions in Philadelphia (1876) and in Chicago (1893).	MSS0123, William Lofland Dudley Papers	Copyright; licensed to Vanderbilt University	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/MS0123-P-Centennial_Cufflinks-1897.jpg	MS0123-P-Centennial_Cufflinks-1897.jpg	Photography|2015 Exhibits
Metadata/Photography/MS0242-Kirkland_family_relative.xml	[Kirkland Family Relative]	1875	Card photographs (photographs)		Corsets--Pictorial works|Portrait photography--Specimens	Today when a cellphone holds thousands of photographs, it’s easy to forget that holding a loved one’s image in your hand was until recently, impossible for all but the wealthy. This young woman, posing for her portrait, wears her corset laced to an uncommonly small size. Although corsets are mythologized as sex objects today, in the 19th century, corsets were worn by all women who wanted their body shape to conform to the current style. By the 1880s, small round waists were equated with good breeding and gentility.	MSS0242, James Hampton Kirkland Papers, Box 38, Folder 11 "Kirkland and Henderson Relatives"	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/MS0242-Kirkland_family_relative.jpg	MS0242-Kirkland_family_relative.jpg	Photography|2015 Exhibits
Metadata/Photography/MS0242-P-Becky_Grandma_Henderson's_Cook-1890.xml	[Becky, Grandma Henderson's Cook for Many Years]	1896	Card photographs (photographs)	Weiser, G.W.	Women cooks--Portraits|Portrait photography--Specimens	Weiser’s four studios across downtown Knoxville catered to the residents of a booming industrial and violent city in the early 1900s. Railroad expansion after the Civil War connected eastern Tennessee with the rest of the South, bringing Welsh, Swiss and other immigrants. Becky’s large sleeves and the studio’s address on W. Clinch Street date this photograph to about 1896, when William Henderson and his wife Harriet would have been busy with plans for the Tennessee Centennial Exposition.	MSS0242, James Hampton Kirkland Papers, Box "PH Arch/Kirk;and Henderson Family"	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/MS0242-P-Becky-Grandma_Henderson's_Cook-1890.jpg	MS0242-P-Becky-Grandma_Henderson's_Cook-1890.jpg	Photography|2015 Exhibits
Metadata/Photography/MS0242-P-Elizabeth-Kirkland-Merritt-Nurse-Ida-c1901.xml	[Elizabeth Kirkland Merritt with Her Nurse, Ida]	1901	Card photographs (photographs)	Moore & Stephenson	Merritt, Elizabeth Kirkland--Portraits|Portrait photography--Specimens	American parents around 1900 faced issues familiar to parents today, including balancing their children’s needs with their own.  While we do not know much about Elizabeth's caretaker Ida, we can see the affectionate gesture of the little girl. Elizabeth, the only child of James Kirkland, was born in 1898. In 1919, she graduated from Wellesley College. She married Benjamin D. Meritt soon after; the couple lived in New Jersey where Meritt taught at Princeton’s Institute for Advanced Study.	MSS0242, James Hampton Kirkland Papers, Box 38, Folder 11 "Kirkland and Henderson Relatives"	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/MS0242-P-Elizabeth_Kirkland_Merritt-Nurse_Ida-c1901.jpg	MS0242-P-Elizabeth_Kirkland_Merritt-Nurse_Ida-c1901.jpg	Photography|2015 Exhibits
Metadata/Photography/MS0242-P-Grandpa_Henderson-Confederate_Uniform-c1860.xml	[Grandpa Henderson in His Confederate Uniform]	1860	Daguerreotypes (photographs)		Soldiers--Confederate States of America--Portraits|Portrait photography--Specimens	William Henderson served the Confederate States of America as aid-de-camp on staff of Brigadier-General Leadbetter and later Major-General Heth. Wounded at Petersburg, he was captured and spent four months a prisoner in Washington and upstate New York. He rejoined his former regiment in the ranks and surrendered at Appomattox. A successful attorney in Knoxville, Henderson’s portrait from the 1890s is also shown in this exhibition.	MSS0242, James Hampton Kirkland Papers, Box "PH Arch/ Kirk Fam" Folder "Kirkland and Henderson Relatives"	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/MS0242-P-Grandpa_Henderson-Confederate_Uniform-c1860.jpg	MS0242-P-Grandpa_Henderson-Confederate_Uniform-c1860.jpg	Photography|2015 Exhibits
Metadata/Photography/MS0242-P-Harriet_Eliza_Smiley(Henderson)-c1860-.xml	[Harriet Elizabeth Smiley Henderson]	1860	Daguerreotypes (photographs)		Portrait photography--Specimens|Smiley-Henderson, Harriet Elizabeth--Portraits	Harriet Smiley was born in Vermont in 1838; her family included Revolutionary War officer Colonel John Barrett. She graduated from the Knoxville Female Academy and married William Henderson in November 1866. Harriet’s fashionable dress dates this image to the early 1860s. She may have intended her portrait for William to carry with him while he fought in the war. The Hendersons were married 55 years. Their daughters Mary and Anna, born in 1867 and 1869, trained in Boston and Berlin to become accomplished musicians.	MSS0242, James Hampton Kirkland Papers, Box 38, Folder 11 "Kirkland and Henderson Relatives"	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/MS0242-P-Harriet_Eliza_Smiley(Henderson)-c1860.jpg	MS0242-P-Harriet_Eliza_Smiley(Henderson)-c1860.jpg	Photography|2015 Exhibits
Metadata/Photography/MS0242-P-Louise_and_Willie-Tarboux-1895.xml	[Louise and Willie Tarboux]	1895	Card photographs (photographs)	Ehrhard Brand and Company	Tarboux, Louise--Portraits|Tarboux, Willie--Portraits|Portrait photography--Specimens	Reverend John W. Tarboux worked in Brazil as a Methodist missionary and high school principal for 37 years. His wife Susan was James Kirkland’s sister. Their son Willie, aged one, wears polka dots. His older sister wears a fancy bonnet. Juiz de Fora, a town in the Paraibuna Valley, 50 miles north of Rio in Minas Gerais, was a state where mining companies helped the economy expand. Brand’s studio opened December 31, 1889. Many Brazilian studios were run by Americans or Europeans.	MSS0242, James Hampton Kirkland Papers, Box 38, Folder 11 "Kirkland and Henderson Relatives"	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/MS0242-P-Louise_and_Willie_Tarboux-1895.jpg	MS0242-P-Louise_and_Willie_Tarboux-1895.jpg	Photography|2015 Exhibits
Metadata/Photography/MS0242-P-Mary_Henderson-Robert_Clark_and_friends_c1887.xml	[Mary Henderson, Robert Clark and Friends]	1887	Card photographs (photographs)		Tennis players--Pictorial works	By 1880, middle class women enjoyed active new summer sports like archery and tennis. While some players wore fine wool clothes called tuxedo suits, others dressed more casually like Mary Henderson, Robert Clark and their friends. One fan described tennis parties as “the highlight of society.” First played in Nahant, MA, in 1874, tennis gained players quickly with 33 clubs in play by 1881. Mary Henderson attended Boston’s Gannett Boarding School for two years after graduating from Knoxville High School.	MSS0242, James Hampton Kirkland Papers, Box 38, Folder 11 "Kirkland and Henderson Relatives"	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/MS0242-P-Mary_Henderson-Robert_Clark_and_friends-c1887.jpg	MS0242-P-Mary_Henderson-Robert_Clark_and_friends-c1887.jpg	Photography|2015 Exhibits
Metadata/Photography/MS0242-P-Mary_Henderson_Kirkland-1914.xml	[Mary Henderson Kirkland]	1914	Card photographs (photographs)		Kirkland, Mary Henderson--Portraits|Portrait photography--Specimens	Did the Kodak camera make it possible to record emotion? Photographers could capture emotions easily with shorter exposure times with Kodak film cameras introduced in 1888. The subsequent craze for smiling images taken outdoors can be summed up in relaxed images like this one of Mary Henderson, circa 1910, on her holiday abroad. Just as we snap and share selfies today, our great-grandparents took huge numbers of photos, made albums and sent their favorites to friends and family.	MSS0242, James Hampton Kirkland Papers, Box 38, Folder 11 "Kirkland and Henderson Relatives"	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/MS0242-P-Mary_Henderson_Kirkland-1914.jpg	MS0242-P-Mary_Henderson_Kirkland-1914.jpg	Photography|2015 Exhibits
Metadata/Photography/MS0242-P-WA_Henderson-c1890.xml	[Portrait of William A. Henderson]	1893	Card photographs (photographs)	Sol. Young Studio	Portrait photography--Specimens|Henderson, William A.--Portraits	After the Civil War, William A. Henderson practiced law in Knoxville and served as a judge prior to joining the Southern Railway in 1894 as assistant counsel.  Living in Washington, D.C., and in Knoxville, he worked for the 1896-97 Tennessee Centennial Exposition Company and served as Vice President of the Tennessee Historical Society. He visited one of Sol Young’s six studios in New York City, possibly on a business trip and may have sent this image to his grandchildren in Tennessee and Georgia.	MSS0242, James Hampton Kirkland Papers, Box "PH arch/ Kirk Fam" F"Kirkland and Henderson Relatives"	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/MS0242-P-WA_Henderson-c1890.jpg	MS0242-P-WA_Henderson-c1890.jpg	Photography|2015 Exhibits
